name,technology,bidding_EOM,max_power_charge,max_power_discharge,efficiency_charge,efficiency_discharge,min_soc,max_soc,capacity,additional_cost_charge,additional_cost_discharge,unit_operator
Tanzmühle - Rabenleite,PSPP,storage_energy_learning,25,35,0.81,0.88,0,1,404,0.28,0.28,GDF SUEZ ENERGIE DEUTSCHLAND
Schwarzenbachwerk,PSPP,storage_energy_learning,20,46,0.73,0.82,0,1,198,0.28,0.28,ENBW ENERGIE BADEN-WURTTEMBERG
Leitzach II,PSPP,storage_energy_learning,38,49,0.86,0.9,0,1,550,0.28,0.28,STADTWERKE MUENCHEN GMBH
Leitzach I,PSPP,storage_energy_learning,40,51,0.86,0.9,0,1,550,0.28,0.28,STADTWERKE MUENCHEN GMBH
Hohenwarte I,PSPP,storage_energy_learning,34,63,0.8,0.87,0,1,504,0.28,0.28,VATTENFALL EUROPE AG
Bleiloch,PSPP,storage_energy_learning,32,80,0.8,0.87,0,1,640,0.28,0.28,VATTENFALL EUROPE AG
Wendefurth,PSPP,storage_energy_learning,72,80,0.82,0.88,0,1,523,0.28,0.28,VATTENFALL EUROPE AG
Glems,PSPP,storage_energy_learning,68,90,0.84,0.89,0,1,560,0.28,0.28,ENBW ENERGIE BADEN-WURTTEMBERG
Reisach - Rabenleite,PSPP,storage_energy_learning,84,100,0.85,0.9,0,1,630,0.28,0.28,GDF SUEZ ENERGIE DEUTSCHLAND
Geesthacht,PSPP,storage_energy_learning,96,105,0.81,0.87,0,1,600,0.28,0.28,VATTENFALL EUROPE AG
Rönkhausen,PSPP,storage_energy_learning,140,140,0.85,0.9,0,1,690,0.28,0.28,ENERVIE - SUEDWESTFALEN ENERGIE
Waldeck I,PSPP,storage_energy_learning,96,140,0.87,0.92,0,1,478,0.28,0.28,UNIPER
Häusern,PSPP,storage_energy_learning,104,144,0.82,0.88,0,1,514,0.28,0.28,ENBW ENERGIE BADEN-WURTTEMBERG
Koepchenwerk Herdecke II,PSPP,storage_energy_learning,153,153,0.85,0.9,0,1,590,0.28,0.28,RWE POWER AG
Happurg,PSPP,storage_energy_learning,126,160,0.83,0.89,0,1,900,0.28,0.28,UNIPER
Langenprozelten,PSPP,storage_energy_learning,154,168,0.85,0.9,0,1,950,0.28,0.28,UNIPER
Waldshut,PSPP,storage_energy_learning,80,176,0.79,0.86,0,1,581,0.28,0.28,ENBW ENERGIE BADEN-WURTTEMBERG
Erzhausen,PSPP,storage_energy_learning,230,220,0.84,0.9,0,1,940,0.28,0.28,STATKRAFT AS
Witznau,PSPP,storage_energy_learning,128,220,0.77,0.84,0,1,880,0.28,0.28,ENBW ENERGIE BADEN-WURTTEMBERG
Hohenwarte II,PSPP,storage_energy_learning,310,320,0.8,0.87,0,1,2087,0.28,0.28,VATTENFALL EUROPE AG
Säckingen,PSPP,storage_energy_learning,301,353,0.86,0.91,0,1,2064,0.28,0.28,ENBW ENERGIE BADEN-WURTTEMBERG
Waldeck II,PSPP,storage_energy_learning,476,440,0.87,0.92,0,1,3428,0.28,0.28,UNIPER
Wehr,PSPP,storage_energy_learning,1000,992,0.86,0.9,0,1,6076,0.28,0.28,RWE POWER AG
Markersbach,PSPP,storage_energy_learning,1140,1050,0.84,0.89,0,1,4018,0.28,0.28,VATTENFALL EUROPE AG
Goldisthal,PSPP,storage_energy_learning,1140,1060,0.88,0.92,0,1,8480,0.28,0.28,VATTENFALL EUROPE AG
