,Optimal Power Requirement (kW),Flex Power Requirement (kW)
0,0.06459574468085111,0.06459574468085111
1,0.0345957446808511,0.0345957446808511
2,0.0045957446808511035,0.0045957446808511035
3,0.0345957446808511,0.0345957446808511
4,0.06459574468085111,0.06459574468085111
5,0.09,0.09
6,0.06,0.06
7,0.03,0.03
8,0.017931034482758703,0.017931034482758703
9,0.0479310344827587,0.0479310344827587
10,0.0779310344827587,0.0779310344827587
11,0.09,0.09
12,0.06,0.06
13,0.03,0.03
14,0.03,0.03
15,0.06,0.06
16,0.09,0.09
17,0.08297872340425558,0.08297872340425558
18,0.06,0.06
19,0.03,0.03
20,-0.0,0.0
21,-0.0,0.0
22,-0.0,0.0
23,-0.0,0.0
24,-0.0,0.0
25,-0.0,0.0
26,-0.0,0.0
27,-0.0,0.0
28,-0.0,0.0
29,-0.0,0.0
30,-0.0,0.0
31,-0.0,0.0
32,-0.0,0.0
33,-0.0,0.0
34,-0.0,0.0
35,-0.0,0.0
36,-0.0,0.0
37,-0.0,0.0
38,-0.0,0.0
39,-0.0,0.0
40,-0.0,0.0
41,-0.0,0.0
42,-0.0,0.0
43,-0.0,0.0
44,-0.0,0.0
45,-0.0,0.0
46,-0.0,0.0
47,-0.0,0.0
48,0.03,0.03
49,0.03,0.03
50,0.03,0.03
51,0.03,0.03
52,-0.0,0.0
53,-0.0,0.0
54,-0.0,0.0
55,-0.0,0.0
56,-0.0,0.0
57,-0.0,0.0
58,-0.0,0.0
59,-0.0,0.0
60,-0.0,0.0
61,-0.0,0.0
62,-0.0,0.0
63,-0.0,0.0
64,-0.0,0.0
65,-0.0,0.0
66,-0.0,0.0
67,-0.0,0.0
68,-0.0,0.0
69,-0.0,0.0
70,-0.0,0.0
71,-0.0,0.0
72,-0.0,0.0
73,-0.0,0.0
74,-0.0,0.0
75,-0.0,0.0
76,-0.0,0.0
77,-0.0,0.0
78,-0.0,0.0
79,-0.0,0.0
80,-0.0,0.0
81,-0.0,0.0
82,-0.0,0.0
83,-0.0,0.0
84,-0.0,0.0
85,-0.0,0.0
86,-0.0,0.0
87,-0.0,0.0
88,-0.0,0.0
89,-0.0,0.0
90,-0.0,0.0
91,-0.0,0.0
92,-0.0,0.0
93,-0.0,0.0
94,-0.0,0.0
95,-0.0,0.0
96,-0.0,0.0
97,-0.0,0.0
98,-0.0,0.0
99,0.008673758865248127,0.008673758865248127
100,0.038673758865248126,0.038673758865248126
101,0.06867375886524812,0.06867375886524812
102,0.054648936170213006,0.054648936170213006
103,0.024648936170213007,0.024648936170213007
104,0.03,0.03
105,0.04234042553189072,0.04234042553189072
106,0.012340425531890721,0.012340425531890721
107,0.03,0.03
108,0.03,0.03
109,0.05531914893619445,0.05531914893619445
110,0.025319148936194448,0.025319148936194448
111,0.03,0.03
112,0.06,0.06
113,0.09,0.09
114,0.06,0.06
115,0.03,0.03
116,-0.0,0.0
117,-0.0,0.0
118,-0.0,0.0
119,-0.0,0.0
120,-0.0,0.0
121,-0.0,0.0
122,-0.0,0.0
123,-0.0,0.0
124,-0.0,0.0
125,-0.0,0.0
126,-0.0,0.0
127,-0.0,0.0
128,-0.0,0.0
129,-0.0,0.0
130,-0.0,0.0
131,-0.0,0.0
132,-0.0,0.0
133,-0.0,0.0
134,-0.0,0.0
135,-0.0,0.0
136,-0.0,0.0
137,-0.0,0.0
138,-0.0,0.0
139,-0.0,0.0
140,-0.0,0.0
141,-0.0,0.0
142,-0.0,0.0
143,-0.0,0.0
144,0.03,0.03
145,0.00586206896551741,0.00586206896551741
146,0.03,0.03
147,0.03,0.03
148,-0.0,0.0
149,-0.0,0.0
150,-0.0,0.0
151,-0.0,0.0
152,-0.0,0.0
153,-0.0,0.0
154,-0.0,0.0
155,-0.0,0.0
156,-0.0,0.0
157,-0.0,0.0
158,-0.0,0.0
159,-0.0,0.0
